0/35, ---; 1;  0.001; 1; 1
1/35; (H3, C3); 2;  0.655; 1; 0, inf 
2/35; (H5, C3); 2;  0.778; 1; 0, inf 
3/35; (H5, C5); 2;  0.099; 1; 1, inf 
4/35; (H3, C5); 4;  0.822; 2; 0, inf 
5/35; (H3, C2); 4;  0.511; 2; 1, 64202.16 
6/35; (H3, C1); 6;  1.045; 3; 2, 64202.16 
7/35; (H5, C1); 10;  0.886; 5; 2, 64202.16 
8/35; (H4, CU); 14;  1.478; 7; 0, 64202.16 
9/35; (H2, C3); 14;  1.397; 7; 0, 64202.16 
10/35; (H5, C2); 14;  1.363; 7; 1, 64202.16 
11/35; (H2, CU); 16;  1.433; 8; 3, 64193.39 
12/35; (H4, C2); 22;  1.379; 11; 0, 64193.39 
13/35; (H3, C4); 22;  1.555; 11; 0, 64193.39 
14/35; (H1, C3); 22;  1.487; 11; 0, 64193.39 
15/35; (H1, C5); 22;  1.139; 11; 1, 64193.39 
16/35; (HU, C1); 24;  1.075; 12; 0, 64193.39 
17/35; (H4, C5); 24;  1.203; 12; 0, 64193.39 
18/35; (H1, C4); 24;  2.137; 12; 8, 64193.39 
19/35; (HU, C4); 40;  4.511; 20; 0, 64193.39 
20/35; (H1, C2); 40;  4.554; 20; 0, 64193.39 
21/35; (H2, C5); 40;  3.906; 20; 5, 64162.44 
22/35; (HU, C5); 50;  2.947; 25; 0, 64162.44 
23/35; (H2, C4); 50;  4.138; 25; 4, 64014.75 
24/35; (H4, C4); 58;  3.608; 29; 0, 64014.75 
25/35; (H1, CU); 58;  4.163; 29; 3, 64014.75 
26/35; (HU, C3); 64;  6.187; 32; 0, 64014.75 
27/35; (HU, C2); 64;  4.854; 32; 0, 64014.75 
28/35; (H1, C1); 64;  4.149; 20; 0, 64014.75 
29/35; (H4, C1); 64;  3.503; 32; 0, 64014.75 
30/35; (H5, C4); 64;  3.609; 19; 0, 64014.75 
31/35; (H2, C1); 64;  4.306; 28; 0, 64014.75 
32/35; (H2, C2); 64;  0.735; 4; 0, 64014.75 
33/35; (H4, C3); 64;  0.019; 0; 0, 64014.75 
34/35; (H3, CU); 64;  4.311; 32; 0, 64014.75 
35/35; (H5, CU); 64;  5.824; 32; 0, 64014.75 
