0/33, ---; 1;  625.005; 1; 1
1/33; (HU, C1); 2;  0.169; 1; 0, 139731.48 
2/33; (HU, C2); 2;  0.161; 1; 0, 139731.48 
3/33; (H5, C1); 2;  131.245; 1; 1, 139526.0 
4/33; (H5, CU); 4;  63.441; 2; 2, 139526.0 
5/33; (H4, C4); 8;  43.811; 4; 4, 139526.0 
6/33; (H5, C2); 16;  152.165; 8; 7, 139526.0 
7/33; (HU, C3); 30;  0.683; 15; 0, 139526.0 
8/33; (H6, C3); 30;  404.438; 15; 13, 139526.0 
9/33; (H4, C3); 56;  1550.504; 28; 16, 139305.42 
10/33; (HU, C4); 88;  1.830; 44; 0, 139305.42 
11/33; (HU, C5); 88;  1.840; 44; 0, 139305.42 
12/33; (H2, C2); 88;  25.161; 44; 4, 139305.42 
13/33; (H6, C2); 96;  1306.995; 48; 20, 139305.42 
14/33; (H2, C3); 136;  1098.604; 68; 13, 139305.42 
15/33; (H4, CU); 162;  269.702; 81; 30, 139305.42 
16/33; (H3, C3); 222;  4.147; 111; 0, 139305.42 
17/33; (H3, C2); 222;  588.880; 111; 107, 139236.81 
18/33; (H1, C2); 436;  729.210; 218; 70, 139236.81 
19/33; (H5, C4); 576;  1634.072; 288; 24, 139236.81 
20/33; (H3, CU); 624;  455.404; 312; 147, 138920.42 
21/33; (H4, C2); 918;  247.024; 378; 12, 138920.42 
22/33; (H3, C1); 942;  10.717; 320; 0, 138920.42 
23/33; (H6, CU); 942;  531.362; 471; 246, 138920.42 
24/33; (H2, CU); 1434;  425.075; 717; 531, 138920.42 
25/33; (H4, C1); 2496;  287.786; 962; 72, 138920.42 
26/33; (H6, C1); 2640;  160.054; 956; 72, 138920.42 
27/33; (H2, C1); 2784;  26.100; 789; 66, 138920.42 
28/33; (H5, C3); 2916;  95.619; 1082; 165, 138920.42 
29/33; (H1, C3); 3246;  282.139; 1315; 105, 138920.42 
30/33; (H1, C1); 3456;  52.243; 1612; 0, 138920.42 
31/33; (H1, C4); 3456;  9.392; 266; 0, 138920.42 
32/33; (H1, C5); 3456;  0.260; 0; 0, 138920.42 
33/33; (H1, CU); 3456;  57.725; 1728; 0, 138920.42 
