0/33, ---; 1;  69.094; 1; 1
1/33; (HU, C1); 2;  0.919; 1; 0, 139732.04 
2/33; (HU, C2); 2;  0.679; 1; 0, 139732.04 
3/33; (H5, C1); 2;  50.271; 1; 1, 139486.8 
4/33; (H5, CU); 4;  24.104; 2; 2, 139486.8 
5/33; (H4, C4); 8;  32.154; 4; 4, 139486.8 
6/33; (H5, C2); 16;  58.698; 8; 7, 139486.8 
7/33; (HU, C3); 30;  2.844; 15; 0, 139486.8 
8/33; (H6, C3); 30;  143.287; 15; 13, 139486.8 
9/33; (H4, C3); 56;  269.576; 28; 16, 139486.8 
10/33; (HU, C4); 88;  1.956; 44; 0, 139486.8 
11/33; (HU, C5); 88;  2.061; 44; 0, 139486.8 
12/33; (H2, C2); 88;  5.527; 44; 4, 139486.8 
13/33; (H6, C2); 96;  123.671; 48; 20, 139486.8 
14/33; (H2, C3); 136;  123.931; 68; 13, 139384.84 
15/33; (H4, CU); 162;  26.255; 81; 30, 139384.84 
16/33; (H3, C3); 222;  4.611; 111; 0, 139384.84 
17/33; (H3, C2); 222;  64.014; 111; 107, 139384.84 
18/33; (H1, C2); 436;  54.076; 218; 70, 139384.84 
19/33; (H5, C4); 576;  144.099; 288; 24, 139384.84 
20/33; (H3, CU); 624;  134.562; 312; 147, 139384.84 
21/33; (H4, C2); 918;  109.822; 378; 12, 139384.2 
22/33; (H3, C1); 942;  12.084; 320; 0, 139384.2 
23/33; (H6, CU); 942;  309.748; 471; 246, 139384.2 
24/33; (H2, CU); 1434;  324.679; 717; 531, 139384.2 
25/33; (H4, C1); 2496;  110.998; 962; 72, 139384.2 
26/33; (H6, C1); 2640;  103.089; 956; 72, 139384.2 
27/33; (H2, C1); 2784;  51.061; 789; 66, 139384.2 
28/33; (H5, C3); 2916;  73.542; 1082; 165, 139384.2 
29/33; (H1, C3); 3246;  353.271; 1315; 105, 139384.2 
30/33; (H1, C1); 3456;  82.212; 1612; 0, 139384.2 
31/33; (H1, C4); 3456;  9.325; 266; 0, 139384.2 
32/33; (H1, C5); 3456;  0.286; 0; 0, 139384.2 
33/33; (H1, CU); 3456;  59.459; 1728; 0, 139384.2 
