0/35, ---; 1;  0.001; 1; 1
1/35; (H3, C3); 2;  0.487; 1; 0, inf 
2/35; (H5, C3); 2;  0.736; 1; 0, inf 
3/35; (H5, C5); 2;  0.104; 1; 1, inf 
4/35; (H3, C5); 4;  1.247; 2; 0, inf 
5/35; (H3, C2); 4;  0.397; 2; 1, 64205.63 
6/35; (H3, C1); 6;  0.687; 3; 2, 64205.63 
7/35; (H5, C1); 10;  0.897; 5; 2, 64205.63 
8/35; (H4, CU); 14;  1.658; 7; 0, 64205.63 
9/35; (H2, C3); 14;  1.851; 7; 0, 64205.63 
10/35; (H5, C2); 14;  1.406; 7; 1, 64205.63 
11/35; (H2, CU); 16;  1.584; 8; 3, 64196.86 
12/35; (H4, C2); 22;  1.479; 11; 0, 64196.86 
13/35; (H3, C4); 22;  1.272; 11; 0, 64196.86 
14/35; (H1, C3); 22;  1.712; 11; 0, 64196.86 
15/35; (H1, C5); 22;  1.101; 11; 1, 64196.86 
16/35; (HU, C1); 24;  1.401; 12; 0, 64196.86 
17/35; (H4, C5); 24;  1.546; 12; 0, 64196.86 
18/35; (H1, C4); 24;  2.133; 12; 8, 64196.86 
19/35; (HU, C4); 40;  5.277; 20; 0, 64196.86 
20/35; (H1, C2); 40;  4.173; 20; 0, 64196.86 
21/35; (H2, C5); 40;  3.751; 20; 5, 64162.44 
22/35; (HU, C5); 50;  3.556; 25; 0, 64162.44 
23/35; (H2, C4); 50;  4.074; 25; 4, 64014.75 
24/35; (H4, C4); 58;  2.836; 29; 0, 64014.75 
25/35; (H1, CU); 58;  7.076; 29; 3, 64014.75 
26/35; (HU, C3); 64;  3.543; 32; 0, 64014.75 
27/35; (HU, C2); 64;  7.450; 32; 0, 64014.75 
28/35; (H1, C1); 64;  2.695; 20; 0, 64014.75 
29/35; (H4, C1); 64;  6.383; 32; 0, 64014.75 
30/35; (H5, C4); 64;  3.923; 19; 0, 64014.75 
31/35; (H2, C1); 64;  4.816; 28; 0, 64014.75 
32/35; (H2, C2); 64;  0.833; 4; 0, 64014.75 
33/35; (H4, C3); 64;  0.027; 0; 0, 64014.75 
34/35; (H3, CU); 64;  6.633; 32; 0, 64014.75 
35/35; (H5, CU); 64;  6.122; 32; 0, 64014.75 
