0/35, ---; 1;  0.000; 1; 1
1/35; (HU, C1); 2;  0.236; 1; 0, inf 
2/35; (H8, CU); 2;  0.834; 1; 1, inf 
3/35; (H10, CU); 4;  1.362; 2; 2, inf 
4/35; (H7, CU); 8;  1.226; 4; 0, inf 
5/35; (H4, C2); 8;  660.201; 4; 1, 4049950.24 
6/35; (H8, C1); 10;  214.538; 5; 2, 4049950.24 
7/35; (H10, C1); 14;  67.034; 7; 4, 4010485.29 
8/35; (H2, C2); 22;  343.493; 11; 3, 4010485.29 
9/35; (H7, C1); 28;  1.000; 14; 0, 4010485.29 
10/35; (H6, CU); 28;  0.981; 14; 0, 4010485.29 
11/35; (H1, C1); 28;  0.970; 14; 0, 4010485.29 
12/35; (H11, C2); 28;  1.029; 14; 1, 4010485.29 
13/35; (H4, CU); 30;  65.085; 15; 15, 4010485.29 
14/35; (H3, C2); 60;  2.005; 30; 2, 4010485.29 
15/35; (H9, C2); 64;  2.100; 32; 0, 4010485.29 
16/35; (H5, CU); 64;  481.237; 32; 5, 3912613.18 
17/35; (H6, C1); 74;  2.202; 37; 2, 3912613.18 
18/35; (H2, CU); 78;  73.161; 39; 20, 3912613.18 
19/35; (H11, CU); 118;  158.911; 59; 21, 3863662.71 
20/35; (H1, C2); 160;  4.025; 80; 0, 3863662.71 
21/35; (H3, CU); 160;  73.920; 80; 11, 3863662.71 
22/35; (H9, CU); 182;  22.189; 91; 5, 3863662.71 
23/35; (H10, C2); 192;  1.852; 37; 0, 3863662.71 
24/35; (H3, C1); 192;  1.697; 34; 0, 3863662.71 
25/35; (H9, C1); 192;  2.285; 46; 0, 3863662.71 
26/35; (H8, C2); 192;  1.502; 30; 0, 3863662.71 
27/35; (H2, C1); 192;  2.118; 43; 0, 3863662.71 
28/35; (H4, C1); 192;  2.309; 47; 0, 3863662.71 
29/35; (H11, C1); 192;  3.293; 69; 0, 3863662.71 
30/35; (H5, C2); 192;  4.408; 96; 0, 3863662.71 
31/35; (H5, C1); 192;  4.378; 96; 0, 3863662.71 
32/35; (H6, C2); 192;  0.149; 3; 0, 3863662.71 
33/35; (H7, C2); 192;  0.020; 0; 0, 3863662.71 
34/35; (H1, CU); 192;  0.020; 0; 0, 3863662.71 
35/35; (HU, C2); 192;  4.410; 96; 0, 3863662.71 
