0/35, ---; 1;  0.044; 1; 1
1/35; (H4, C3); 2;  0.209; 1; 1, 43708.81 
2/35; (H5, C3); 4;  0.390; 2; 2, 43708.81 
3/35; (H4, C5); 8;  1.549; 4; 3, 43708.81 
4/35; (H5, C5); 14;  2.499; 7; 3, 43708.81 
5/35; (H5, C2); 20;  4.282; 10; 9, 43417.2 
6/35; (HU, C4); 38;  8.131; 19; 0, 43417.2 
7/35; (H1, C2); 38;  6.238; 19; 9, 43417.2 
8/35; (H3, CU); 56;  10.704; 28; 12, 43417.2 
9/35; (HU, C1); 80;  12.372; 40; 0, 43417.2 
10/35; (H1, C5); 80;  17.160; 40; 5, 43417.2 
11/35; (H2, CU); 90;  13.174; 45; 14, 43417.2 
12/35; (HU, C2); 118;  20.518; 59; 0, 43417.2 
13/35; (H3, C1); 118;  20.072; 59; 31, 43417.2 
14/35; (H3, C2); 180;  26.850; 90; 35, 43322.31 
15/35; (HU, C3); 250;  43.386; 125; 0, 43322.31 
16/35; (HU, C5); 250;  35.639; 125; 0, 43322.31 
17/35; (H2, C1); 250;  31.315; 125; 33, 43322.31 
18/35; (H2, C2); 316;  46.960; 158; 34, 43322.31 
19/35; (H3, C4); 384;  42.839; 192; 51, 43322.31 
20/35; (H2, C4); 486;  40.537; 243; 58, 43318.49 
21/35; (H4, C1); 602;  45.662; 301; 43, 43318.49 
22/35; (H1, CU); 688;  75.345; 344; 119, 43318.49 
23/35; (H1, C3); 926;  62.553; 463; 120, 43318.49 
24/35; (H1, C4); 1166;  46.297; 583; 172, 43318.49 
25/35; (H4, C4); 1510;  37.239; 755; 150, 43318.49 
26/35; (H1, C1); 1810;  28.790; 654; 37, 43318.49 
27/35; (H5, C4); 1884;  30.117; 710; 70, 43318.49 
28/35; (H2, C5); 2024;  47.653; 1012; 313, 43311.48 
29/35; (H3, C5); 2650;  27.539; 725; 30, 43311.48 
30/35; (H2, C3); 2710;  42.125; 1144; 96, 43311.48 
31/35; (H3, C3); 2902;  48.996; 1324; 2, 43311.48 
32/35; (H5, C1); 2906;  38.107; 1058; 43, 43311.48 
33/35; (H4, C2); 2992;  33.794; 972; 5, 43311.48 
34/35; (H4, CU); 3002;  51.761; 1501; 0, 43311.48 
35/35; (H5, CU); 3002;  42.409; 1235; 0, 43311.48 
